index,country,accounts,global_share,accounts_per_100_capita,android,ios,picture,status,business,companions,continent
1,India,749075246,21.67,52.32,94.95,5.05,62.22,29.55,9.77,6.2,AS
2,Indonesia,235245077,6.81,84.01,92.35,7.65,49.14,27.49,10.66,9.3,AS
3,Brazil,206949224,5.99,98.22,81.42,18.58,61.08,41.46,10.32,15.55,SA
4,United States,137859284,3.99,40.25,32.62,67.38,44.03,32.77,2.39,6.12,NA
5,Russian Federation,132855022,3.84,91.2,75.6,24.4,61.74,33.47,3.62,9.4,EU
6,Mexico,128324166,3.71,99.34,81.73,18.27,46.06,23.26,4.07,11.74,NA
7,Pakistan,98277665,2.84,40.0,94.65,5.35,58.51,20.0,21.71,5.36,AS
8,Germany,74565425,2.16,88.35,58.13,41.87,51.02,35.41,2.17,13.41,EU
9,Turkiye,72131903,2.09,82.75,72.72,27.28,47.95,33.4,2.95,12.02,OTHER
10,Egypt,69317806,2.01,61.08,90.07,9.93,53.16,25.08,11.28,6.12,AF
11,United Kingdom,66835822,1.93,97.65,42.72,57.28,57.2,45.33,3.39,10.21,EU
12,Iran,64945192,1.88,72.08,76.24,23.76,53.58,23.1,9.05,1.55,AS
13,Nigeria,60325977,1.75,26.75,85.59,14.41,60.98,23.72,23.22,5.55,AF
14,Bangladesh,60127633,1.74,35.28,96.45,3.55,60.22,9.73,4.89,5.95,AS
15,Italy,55606677,1.61,93.36,69.53,30.47,68.46,46.94,3.1,16.48,EU
16,France,53967206,1.56,81.3,57.93,42.07,50.6,36.74,1.6,10.19,EU
17,Colombia,51030811,1.48,98.07,86.73,13.27,48.43,24.27,8.61,14.32,SA
18,Spain,46495245,1.35,97.05,71.87,28.13,58.15,42.23,3.8,18.57,EU
19,Argentina,43854434,1.27,96.47,88.4,11.6,54.76,32.77,5.41,16.19,SA
20,South Africa,43171922,1.25,68.75,89.81,10.19,58.99,25.58,10.33,5.15,AF
21,Saudi Arabia,38910335,1.13,118.39,57.45,42.55,61.27,38.93,15.99,8.4,AS
22,Malaysia,37353780,1.08,107.01,77.0,23.0,50.76,29.58,7.88,15.43,AS
23,Morocco,32954817,0.95,87.82,89.01,10.99,54.43,17.55,15.57,5.61,AF
24,Peru,31567678,0.91,93.8,92.53,7.47,48.99,25.05,7.24,19.75,SA
25,Iraq,29676773,0.86,66.55,78.69,21.31,67.57,29.88,7.86,2.53,AS
26,Poland,23838052,0.69,61.42,75.2,24.8,43.55,25.49,0.81,7.7,EU
27,Canada,21978575,0.64,56.27,36.94,63.06,44.15,40.38,4.48,11.1,NA
28,Philippines,21393429,0.62,18.7,81.96,18.04,36.23,6.43,1.95,3.31,AS
29,Kenya,21094162,0.61,38.5,96.58,3.42,60.65,23.37,15.42,4.56,AF
30,Chile,21020792,0.61,107.23,79.84,20.16,52.83,30.82,5.1,18.51,SA
31,Kazakhstan,19702340,0.57,97.56,71.44,28.56,59.03,37.19,9.96,10.69,AS
32,Netherlands,18668743,0.54,103.61,51.41,48.59,59.32,45.76,4.46,22.39,EU
33,Venezuela,18645768,0.54,66.0,93.56,6.44,51.99,23.98,9.28,5.74,SA
34,United Arab Emirates,18348803,0.53,175.67,69.13,30.87,61.86,31.11,26.31,12.18,AS
35,Algeria,18316732,0.53,39.97,92.25,7.75,42.72,6.12,2.34,1.85,AF
36,Ghana,16671248,0.48,49.81,77.61,22.39,69.81,28.34,23.66,4.03,AF
37,Australia,16349836,0.47,62.12,33.03,66.97,44.53,42.32,1.81,9.34,OC
38,Ecuador,16024559,0.46,89.51,88.45,11.55,48.19,25.0,9.53,18.1,SA
39,Romania,15081156,0.44,78.67,77.81,22.19,62.01,29.36,2.08,14.24,EU
40,Sri Lanka,14899815,0.43,65.05,87.68,12.32,52.31,23.52,13.9,8.95,AS
41,Ukraine,14261123,0.41,37.51,71.01,28.99,42.28,19.92,0.97,6.39,EU
42,Guatemala,13402143,0.39,74.52,90.97,9.03,47.59,20.07,6.05,8.23,NA
43,Nepal,13110193,0.38,44.12,89.74,10.26,54.3,10.64,3.9,4.72,AS
44,Syria,12515809,0.36,54.38,95.54,4.46,58.14,23.92,14.23,2.01,AS
45,Yemen,12444545,0.36,32.08,96.94,3.06,63.5,24.4,18.45,1.44,AS
46,Tanzania,12337074,0.36,18.79,93.16,6.84,70.82,20.62,17.13,2.29,AF
47,"Congo, The Democratic Republic of the",11846557,0.34,11.38,91.43,8.57,77.55,16.89,29.45,1.6,AF
48,Israel,11273740,0.33,122.66,64.19,35.81,63.85,45.09,6.35,22.35,AS
49,Senegal,11185047,0.32,62.6,82.62,17.38,75.36,22.32,20.29,2.69,AF
50,Uganda,10723769,0.31,22.35,94.67,5.33,73.73,23.5,23.47,2.37,AF
51,Bolivia,10304427,0.3,84.75,95.53,4.47,49.38,26.63,10.29,11.84,SA
52,Uzbekistan,10100037,0.29,28.62,92.3,7.7,41.28,7.88,4.76,0.66,AS
53,Portugal,10066460,0.29,96.51,71.09,28.91,63.96,37.93,4.95,20.93,EU
54,Dominican Republic,10014519,0.29,88.76,72.77,27.23,55.92,26.37,11.69,9.43,NA
55,Hong Kong,9730348,0.28,130.57,49.22,50.78,55.27,37.23,6.24,18.2,AS
56,Belgium,9697985,0.28,82.9,57.33,42.67,56.89,38.99,2.29,16.15,EU
57,Afghanistan,8804518,0.25,21.55,89.13,10.87,70.74,18.59,21.78,1.75,AS
58,Czechia,8415604,0.24,77.72,68.62,31.38,55.6,34.5,0.91,11.39,EU
59,Switzerland,8357677,0.24,94.51,42.74,57.26,57.54,46.95,3.01,19.89,EU
60,Azerbaijan,8335654,0.24,80.68,85.12,14.88,46.88,24.2,14.26,5.38,AS
61,Cameroon,8239619,0.24,29.43,90.1,9.9,68.57,17.97,20.99,2.48,AF
62,Austria,7873644,0.23,86.18,59.44,40.56,59.68,41.24,2.09,15.82,EU
63,Mali,7834497,0.23,33.46,93.19,6.81,79.53,14.49,19.23,0.99,AF
64,Sudan,7793904,0.23,15.58,95.92,4.08,61.52,15.37,12.22,1.19,AF
65,Libya,7356011,0.21,101.2,82.82,17.18,59.62,21.64,11.32,2.41,AF
66,Zimbabwe,7019896,0.2,43.32,95.0,5.0,64.84,27.31,21.96,2.78,AF
67,Singapore,6724838,0.19,116.63,57.57,42.43,52.55,36.49,7.81,24.82,AS
68,Burkina Faso,6691914,0.19,29.39,96.12,3.88,79.63,14.87,14.79,2.09,AF
69,Tunisia,6583209,0.19,54.13,88.11,11.89,45.43,11.38,3.11,4.56,AF
70,Honduras,6331543,0.18,59.99,85.46,14.54,47.8,20.24,6.63,7.32,NA
71,Jordan,6235059,0.18,54.95,77.96,22.04,59.7,38.17,5.54,9.07,AS
72,Sweden,6127644,0.18,58.24,38.32,61.68,50.28,45.92,1.12,6.39,EU
73,El Salvador,5995307,0.17,95.24,90.51,9.49,47.14,20.11,5.6,10.7,NA
74,Cuba,5945516,0.17,53.86,94.72,5.28,69.57,21.5,5.97,1.76,NA
75,Mozambique,5835551,0.17,17.61,93.45,6.55,72.85,22.19,19.25,2.51,AF
76,Paraguay,5764289,0.17,84.74,88.73,11.27,46.47,28.31,12.0,9.02,SA
77,Kyrgyzstan,5666704,0.16,80.77,79.86,20.14,56.65,28.52,15.96,4.99,AS
78,Angola,5494589,0.16,15.18,87.73,12.27,69.66,19.99,11.81,4.07,AF
79,Costa Rica,5408613,0.16,106.2,79.82,20.18,50.92,29.51,7.52,15.95,NA
80,Nicaragua,5394014,0.16,79.59,92.91,7.09,55.36,19.68,10.32,4.75,NA
81,Thailand,5289787,0.15,7.38,62.12,37.88,48.06,14.06,3.08,4.68,AS
82,Ethiopia,5258939,0.15,4.14,95.07,4.93,45.84,6.76,7.27,2.22,AF
83,Finland,5210733,0.15,93.22,66.78,33.22,63.89,48.81,1.33,13.13,EU
84,Haiti,5183317,0.15,44.8,92.17,7.83,66.66,18.34,28.9,1.76,NA
85,Kuwait,5119447,0.15,106.81,58.04,41.96,58.8,35.88,13.99,6.94,AS
86,Oman,4944837,0.14,100.24,71.03,28.97,63.65,35.24,18.18,8.0,AS
87,Ireland,4931768,0.14,95.47,52.83,47.17,58.43,43.59,2.45,9.9,EU
88,Benin,4887173,0.14,35.07,94.04,5.96,74.44,20.61,25.22,2.75,AF
89,Zambia,4793101,0.14,23.46,90.39,9.61,69.32,23.42,14.77,3.74,AF
90,Vietnam,4714460,0.14,4.71,45.03,54.97,34.29,13.33,2.15,6.45,AS
91,Somalia,4524006,0.13,25.09,91.03,8.97,64.57,18.83,28.65,3.23,AF
92,Lebanon,4462061,0.13,77.45,75.0,25.0,50.06,37.42,10.31,9.58,AS
93,Laos,4276598,0.12,56.18,77.64,22.36,68.6,25.12,7.12,6.33,AS
94,Qatar,4168851,0.12,141.51,70.41,29.59,59.96,29.39,20.27,9.87,AS
95,Tajikistan,4044373,0.12,39.31,91.79,8.21,65.73,15.75,14.07,1.3,AS
96,Niger,4018525,0.12,15.62,96.65,3.35,75.64,10.8,20.03,0.68,AF
97,Panama,3981244,0.12,89.87,84.58,15.42,42.79,23.91,8.44,10.52,NA
98,Greece,3836612,0.11,37.07,71.32,28.68,53.25,23.71,4.43,6.16,EU
99,Guinea,3712196,0.11,26.09,91.1,8.9,72.65,9.42,6.87,1.5,AF
100,Uruguay,3590005,0.1,105.93,79.09,20.91,57.72,33.45,5.92,15.66,SA
101,Serbia,3536526,0.1,52.1,74.72,25.28,55.72,25.99,1.26,6.18,EU
102,Belarus,3436804,0.1,37.58,78.06,21.94,48.6,18.59,0.96,4.08,EU
103,Togo,3278638,0.09,35.65,93.65,6.35,72.31,23.88,28.05,3.75,AF
104,Rwanda,3242999,0.09,23.49,94.67,5.33,76.28,18.38,31.88,6.61,AF
105,Croatia,3176821,0.09,81.39,78.84,21.16,57.3,31.02,1.63,10.81,EU
106,Slovakia,3058109,0.09,55.43,69.52,30.48,46.66,27.63,0.86,8.92,EU
107,New Zealand,3009086,0.09,58.42,46.82,53.18,46.87,35.4,1.99,8.49,OC
108,C̫te d'Ivoire,2954156,0.09,9.6,88.18,11.82,77.77,9.62,16.93,1.36,OTHER
109,Puerto Rico,2927955,0.08,90.37,52.14,47.86,51.69,33.83,2.61,8.54,NA
110,Malawi,2909098,0.08,13.96,97.18,2.82,72.37,19.2,28.5,2.71,AF
111,Chad,2822729,0.08,15.04,95.97,4.03,75.36,9.74,19.1,0.81,AF
112,Georgia,2693366,0.08,70.75,66.56,33.44,44.67,23.99,4.25,6.16,AS
113,Japan,2657913,0.08,2.13,29.94,70.06,42.6,28.01,2.19,7.2,AS
114,Mauritania,2600507,0.08,52.56,83.97,16.03,76.99,20.82,25.59,1.65,AF
115,Jamaica,2564513,0.07,90.3,77.69,22.31,49.16,24.53,7.96,7.82,NA
116,Taiwan,2554411,0.07,10.93,41.36,58.64,46.27,25.97,2.44,6.23,AS
117,Hungary,2353727,0.07,24.31,62.09,37.91,43.37,23.56,1.02,6.46,EU
118,China,2333519,0.07,0.16,45.26,54.74,68.05,32.17,25.31,25.09,AS
119,Bulgaria,2229140,0.06,32.72,71.73,28.27,46.16,19.98,1.6,5.39,EU
120,Sierra Leone,2217255,0.06,26.5,91.33,8.67,75.46,19.97,34.68,2.02,AF
121,Armenia,2163241,0.06,74.54,68.75,31.25,50.61,26.08,2.99,4.22,AS
122,Denmark,2161142,0.06,36.43,33.01,66.99,43.52,41.07,1.33,7.56,EU
123,Albania,2145954,0.06,76.04,63.76,36.24,51.88,31.31,5.11,6.08,EU
124,South Korea,2134229,0.06,4.12,59.35,40.65,34.93,14.85,2.4,8.29,AS
125,Norway,2068774,0.06,37.69,37.02,62.98,46.26,39.66,0.97,6.74,EU
126,Congo,1889765,0.05,30.94,87.02,12.98,73.44,19.72,22.05,3.06,AF
127,Moldova,1810064,0.05,58.75,78.81,21.19,51.39,18.27,1.49,4.3,EU
128,Bahrain,1760795,0.05,113.45,67.0,33.0,60.14,36.77,15.8,11.88,AS
129,Latvia,1681184,0.05,89.19,71.11,28.89,65.11,39.43,2.09,20.32,EU
130,Myanmar,1622535,0.05,3.01,83.55,16.45,30.33,5.28,1.82,1.0,AS
131,Gabon,1584390,0.05,64.46,87.5,12.5,69.86,22.9,23.3,4.28,AF
132,Gambia,1531910,0.04,57.44,83.11,16.89,74.93,22.22,18.14,1.72,AF
133,Botswana,1531300,0.04,62.25,92.01,7.99,64.6,26.8,11.61,4.57,AF
134,Cambodia,1511987,0.04,8.73,54.83,45.17,43.5,15.43,5.43,8.16,AS
135,Bosnia and Herzegovina,1500311,0.04,46.97,78.55,21.45,53.5,21.1,1.26,3.73,EU
136,Trinidad and Tobago,1352506,0.04,90.17,80.46,19.54,49.79,28.53,6.53,11.29,NA
137,Madagascar,1329265,0.04,4.31,92.13,7.87,60.67,6.72,2.58,6.09,AF
138,Burundi,1306962,0.04,9.68,96.86,3.14,78.52,17.48,33.72,2.15,AF
139,Mauritius,1282677,0.04,100.6,85.91,14.09,49.75,23.89,6.96,8.67,AF
140,Papua New Guinea,1282112,0.04,12.45,97.54,2.46,67.24,8.7,3.96,2.35,OC
141,Lithuania,1244831,0.04,43.82,67.52,32.48,41.19,22.18,1.76,7.4,EU
142,Namibia,1239436,0.04,42.33,87.73,12.27,65.55,27.26,9.29,5.01,AF
143,Slovenia,987139,0.03,46.61,66.26,33.74,44.65,25.9,1.12,6.87,EU
144,Liberia,902740,0.03,16.62,87.86,12.14,68.61,11.67,6.48,2.76,AF
145,XK,879645,0.03,51.47,43.61,56.39,55.99,35.52,2.19,3.36,OTHER
146,North Macedonia,874111,0.03,47.61,67.95,32.05,49.94,23.96,1.63,3.95,EU
147,Guyana,788453,0.02,95.69,84.61,15.39,52.71,22.57,8.43,8.23,SA
148,Timor-Leste,781707,0.02,56.77,89.82,10.18,63.32,20.98,16.01,3.6,OTHER
149,South Sudan,764313,0.02,6.86,93.41,6.59,68.34,11.81,11.46,2.41,AF
150,Cyprus,760791,0.02,56.86,65.46,34.54,51.68,28.35,9.61,9.13,AS
151,Lesotho,760031,0.02,33.07,96.45,3.55,67.69,21.11,17.64,2.39,AF
152,Luxembourg,757823,0.02,114.65,50.49,49.51,59.98,45.18,6.61,12.76,EU
153,Estonia,723892,0.02,52.95,60.14,39.86,46.62,29.72,2.12,10.5,EU
154,"Palestine, State of",710923,0.02,13.24,74.99,25.01,53.52,23.99,11.35,7.28,AS
155,Eswatini,652980,0.02,53.3,95.08,4.92,60.97,23.32,20.95,2.37,AF
156,R̩union,648764,0.02,74.31,63.6,36.4,51.8,28.48,1.06,6.35,OTHER
157,Suriname,589464,0.02,94.16,81.34,18.66,52.8,25.63,11.5,7.61,SA
158,Brunei Darussalam,538420,0.02,117.82,75.9,24.1,43.19,29.39,8.18,18.45,AS
159,Malta,525275,0.02,99.11,66.49,33.51,62.73,35.3,9.56,20.43,EU
160,Mongolia,437102,0.01,12.82,50.17,49.83,27.83,10.27,1.45,2.98,AS
161,Guadeloupe,426255,0.01,113.06,69.82,30.18,48.55,30.72,6.25,11.08,NA
162,Equatorial Guinea,409264,0.01,22.43,87.52,12.48,70.13,24.83,24.8,2.26,AF
163,Maldives,408370,0.01,77.78,70.85,29.15,56.26,23.38,11.28,9.98,AS
164,Montenegro,394477,0.01,62.81,66.78,33.22,52.75,25.88,3.03,4.67,EU
165,Djibouti,382815,0.01,33.43,94.0,6.0,65.51,24.66,20.48,4.5,AF
166,Bhutan,381458,0.01,48.66,85.69,14.31,65.03,19.03,4.15,8.85,AS
167,Turkmenistan,376141,0.01,5.15,86.72,13.28,40.17,4.79,0.93,0.99,AS
168,Bahamas,373207,0.01,93.54,63.55,36.45,50.0,30.16,8.49,9.59,NA
169,Macao,372978,0.01,52.61,36.25,63.75,59.16,44.43,3.94,9.07,AS
170,Martinique,349780,0.01,100.8,71.49,28.51,47.15,30.25,5.26,10.92,NA
171,Guinea-Bissau,321787,0.01,15.11,95.2,4.8,83.03,12.32,20.13,0.82,AF
172,Belize,312767,0.01,76.66,78.47,21.53,54.13,27.41,6.36,10.96,NA
173,Barbados,309488,0.01,109.75,77.4,22.6,47.83,29.07,7.33,11.6,NA
174,Central African Republic,297412,0.01,5.87,95.73,4.27,74.96,11.28,11.1,1.81,AF
175,Comoros,297247,0.01,35.3,92.68,7.32,61.26,13.41,15.89,2.69,AF
176,Cabo Verde,251991,0.01,48.37,84.34,15.66,61.43,16.18,2.39,5.37,AF
177,Fiji,223658,0.01,24.26,84.45,15.55,51.42,8.04,1.44,3.44,OC
178,French Guiana,223171,0.01,74.14,67.22,32.78,53.01,28.78,8.96,8.57,SA
179,Monaco,187205,0.01,480.01,44.92,55.08,65.13,51.0,1.31,3.65,EU
180,Cura̤ao,182053,0.01,98.41,74.52,25.48,50.36,29.5,10.84,12.11,OTHER
181,Iceland,168196,0.0,43.8,44.13,55.87,46.24,31.74,1.58,8.52,EU
182,Saint Lucia,166833,0.0,93.2,81.9,18.1,49.33,26.91,7.07,9.14,NA
183,Guam,139410,0.0,83.98,42.13,57.87,54.17,39.09,1.17,13.96,OC
184,Mayotte,131005,0.0,42.12,80.93,19.07,53.96,13.44,2.85,2.43,AF
185,Aruba,123341,0.0,114.2,68.74,31.26,54.46,34.54,7.77,14.31,NA
186,New Caledonia,117397,0.0,40.76,65.56,34.44,49.17,22.94,0.91,6.3,OC
187,French Polynesia,115900,0.0,41.25,63.59,36.41,49.94,21.29,1.62,5.62,OC
188,Grenada,108829,0.0,93.02,80.93,19.07,53.41,26.39,6.27,10.32,NA
189,Seychelles,105166,0.0,82.81,82.89,17.11,56.08,24.87,8.54,7.76,AF
190,Solomon Islands,104790,0.0,13.26,90.0,10.0,59.24,6.61,1.25,1.94,OC
191,Saint Vincent and the Grenadines,104325,0.0,102.28,82.6,17.4,51.11,25.42,5.97,8.17,NA
192,Antigua and Barbuda,103257,0.0,111.03,75.13,24.87,51.13,28.21,7.92,9.91,NA
193,Cayman Islands,99921,0.0,138.78,56.85,43.15,54.31,34.73,8.28,11.84,NA
194,Jersey,87561,0.0,84.19,32.64,67.36,58.65,52.23,2.15,8.03,EU
195,"Virgin Islands, U.S.",81824,0.0,95.14,44.96,55.04,52.58,38.38,2.32,4.2,NA
196,Andorra,77724,0.0,97.16,56.33,43.67,65.42,45.86,8.94,20.33,EU
197,Sao Tome and Principe,70692,0.0,30.87,95.96,4.04,64.6,10.93,4.18,5.68,AF
198,Isle of Man,68878,0.0,82.0,34.32,65.68,60.31,52.98,1.4,8.85,EU
199,Dominica,64879,0.0,96.83,84.49,15.51,51.54,25.49,7.77,10.28,NA
200,Saint Kitts and Nevis,61488,0.0,130.83,72.03,27.97,47.65,29.22,7.21,10.26,NA
201,Turks and Caicos Islands,61481,0.0,133.65,65.39,34.61,59.16,28.02,14.81,7.53,NA
202,Sint Maarten (Dutch part),59952,0.0,142.74,72.22,27.78,52.46,30.22,9.74,10.57,OTHER
203,Bermuda,58893,0.0,90.6,41.93,58.07,56.8,44.63,2.98,11.36,NA
204,Guernsey,54279,0.0,84.81,33.62,66.38,62.26,54.18,1.81,8.56,EU
205,Eritrea,49215,0.0,1.43,98.95,1.05,38.74,2.62,0.54,1.25,AF
206,"Virgin Islands, British",38737,0.0,99.33,61.65,38.35,51.74,31.03,7.96,11.78,NA
207,Northern Mariana Islands,37636,0.0,81.82,53.45,46.55,55.81,33.68,0.95,13.23,OC
208,Vanuatu,33909,0.0,10.7,88.7,11.3,51.3,6.56,2.01,4.29,OC
209,Samoa,33280,0.0,15.41,73.26,26.74,49.09,10.13,1.34,4.07,OC
210,Gibraltar,32821,0.0,86.37,45.12,54.88,63.89,47.68,3.7,14.86,EU
211,"Bonaire, Sint Eustatius and Saba",30184,0.0,104.08,68.21,31.79,57.48,32.32,13.02,16.54,NA
212,Anguilla,17970,0.0,128.36,69.13,30.87,50.55,29.12,6.76,9.62,NA
213,Liechtenstein,16760,0.0,42.97,40.92,59.08,55.03,44.28,3.22,22.71,EU
214,Tonga,13044,0.0,12.42,65.4,34.6,48.93,8.44,1.28,3.68,OC
215,Faroe Islands,10584,0.0,19.6,38.58,61.42,38.32,28.73,1.33,5.98,EU
216,Greenland,9129,0.0,16.3,44.94,55.06,35.7,14.12,1.22,2.38,NA
217,Palau,8766,0.0,48.7,69.25,30.75,55.37,16.39,1.94,6.88,OC
218,Kiribati,8125,0.0,6.16,91.69,8.31,45.17,2.66,1.39,1.32,OC
219,"Micronesia, Federated States of",8084,0.0,7.22,73.3,26.7,53.2,10.76,1.45,4.8,OC
220,American Samoa,7364,0.0,15.34,53.99,46.01,42.46,10.67,1.63,3.54,OC
221,Montserrat,5016,0.0,125.4,77.92,22.08,51.59,27.77,6.86,10.96,NA
222,Cook Islands,3287,0.0,23.48,69.93,30.07,43.93,12.11,2.86,5.48,OC
223,Wallis and Futuna,3004,0.0,27.31,73.33,26.67,45.31,11.72,1.0,4.06,OC
224,Nauru,2997,0.0,24.98,81.74,18.26,47.45,6.84,1.67,3.44,OC
225,Falkland Islands (Malvinas),2134,0.0,71.13,67.55,32.45,48.27,21.74,3.0,5.11,SA
226,Marshall Islands,2032,0.0,5.21,66.01,33.99,49.9,11.07,1.23,7.58,OC
227,"Saint Helena, Ascension and Tristan da Cunha",1370,0.0,27.4,95.63,4.37,51.39,8.39,2.12,2.48,AF
228,Saint Pierre and Miquelon,1065,0.0,17.75,45.79,54.21,35.59,18.97,1.31,6.48,NA
229,Tuvalu,463,0.0,4.63,78.51,21.49,50.32,4.32,1.51,2.38,OC
230,British Indian Ocean Territory,309,0.0,,82.09,17.91,46.28,9.71,11.0,3.56,AS
231,Norfolk Island,300,0.0,,51.21,48.79,38.0,21.67,0.33,6.33,OC
232,AC,163,0.0,,91.93,8.07,61.35,12.27,5.52,1.23,OTHER
233,Niue,90,0.0,4.5,81.58,18.42,11.11,52.22,6.67,0.0,OC
234,Tokelau,33,0.0,1.65,81.82,18.18,51.52,3.03,3.03,0.0,OC
235,North Korea,5,0.0,0.0,80.0,20.0,60.0,20.0,0.0,60.0,AS
